Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,ACH2 200 copies/rxn,pol early,7.393630027771,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,147.872604370117,,,8.84367752075195,5.94536828994751,15962,100,15862,,,,,,,,,,,,,,,,gag,0.961417352128186,,,1.22533438527156,0.697500318984816,49.0164600147452,,,55.876511802018,42.1564082274724,1580.23936035156,358.277760191232,365.933201866212,,,,,8.13322639465332,6.65449810028076,,,,,,,1.09606885423031,0.826765850026064,,,52.5164852562112,45.5164347732791
A01,ACH2 200 copies/rxn,env,8.06134223937988,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,161.226837158203,,,9.57570648193359,6.5489239692688,15962,109,15853,,,,,,,,,,,,,,,,gag,1.04824210587668,,,1.32987189158665,0.766612320166703,51.1776465716202,,,57.8906366495222,44.4646564937182,7090.10452130519,1311.80278015233,1351.26117445039,,,,,8.83373355865479,7.28945684432983,,,,,,,1.19193076472286,0.904553447030494,,,54.6026413345492,47.7526518086912
A01,ACH2 200 copies/rxn,gag,7.69034385681152,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Hi,153.806884765625,,,9.16931247711182,6.21323251724243,15962,104,15858,,,,,,,,,,,,,,,,,,,,,,,,,,,8151.46413480319,1306.6640557799,1351.26117445039,,,,,8.44468784332275,6.93648386001587,,,,,,,,,,,,
A02,ACH2 4 copies/rxn,pol early,0.365004599094391,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,7.30009174346924,,,0.967631638050079,0.0866175070405006,9671,3,9668,,,,,,,,,,,,,,,,gag,3.00031038060207,,,10.9731222319766,0,75.0019397282494,,,124.824281555133,25.1795979013654,1292.60455322266,362.849644501149,363.138059838359,,,,,0.624956905841827,0.189666584134102,,,,,,,6.77838589262007,0,,,98.6112476006142,51.3926318558847
A02,ACH2 4 copies/rxn,env,0.243323802947998,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,4.86647605895996,,,0.77954375743866,0.0368603207170963,9671,2,9669,,,,,,,,,,,,,,,,gag,2.00010337854307,,,7.63384802740255,0,66.6678152775647,,,129.260664129996,4.07496642513321,5776.46240234375,1311.35121706967,1312.27461923807,,,,,0.467834651470184,0.105596348643303,,,,,,,4.67169701491372,0,,,96.3501433025523,36.9854872525771
A02,ACH2 4 copies/rxn,gag,0.121655613183975,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Hi,2.43311214447021,,,0.581140697002411,0.00510928221046925,9671,1,9670,,,,,,,,,,,,,,,,,,,,,,,,,,,8361.4951171875,1311.54564090322,1312.27461923807,,,,,0.302824169397354,0.0329674296081066,,,,,,,,,,,,
B01,ACH2 200 copies/rxn,pol early,9.16573524475098,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,183.314697265625,,,10.8207006454468,7.51309490203857,15205,118,15087,,,,,,,,,,,,,,,,gag,0.943781256530189,,,1.18121146538365,0.706351047676731,48.5538819432243,,,54.8379545537013,42.2698093327473,1570.60862757796,357.527751267987,366.94199285987,,,,,10.0098142623901,8.32226181030273,,,,,,,1.06491902660732,0.822643486453054,,,51.760039014441,45.3477248720075
B01,ACH2 200 copies/rxn,env,8.85386085510254,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Lo,177.077209472656,,,10.4802989959717,7.22966814041138,15205,114,15091,,,,,,,,,,,,,,,,gag,0.911668044061986,,,1.14307996377152,0.68025612435245,47.6896627996584,,,54.0219523359016,41.3573732634152,7340.74556049548,1306.06624030119,1351.31145190935,,,,,9.68339443206787,8.02491092681885,,,,,,,1.02973525482704,0.793600833296929,,,50.9204201618522,44.4589054374646
B01,ACH2 200 copies/rxn,gag,9.71171569824219,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),HEX Hi,194.234313964844,,,11.4154920578003,8.01040267944336,15205,125,15080,,,,,,,,,,,,,,,,,,,,,,,,,,,8089.38608984375,1295.4587112103,1351.31145190935,,,,,10.580680847168,8.84339141845703,,,,,,,,,,,,
B02,ACH2 4 copies/rxn,pol early,0.578943252563477,Manual,DQ,Unknown,Unknown,ddPCR Supermix for Probes (no dUTP),FAM Lo,11.5788650512695,,,1.25840699672699,0.203523978590965,10163,5,10158,,,,,,,,,,,,,,,,gag,1.25006150207929,,,2.96746225294647,0,55.5567703782366,,,89.4788813306904,21.6346594257828,1441.75997314453,363.705099752884,364.23548195961,,,,,0.881844043731689,0.354974210262299,,,,,,,2.10596821774932,0.394154786409271,,,72.4626454683974,38.6508952880757
